st_fips,GEOID,NAME,total_pop,white_pop,med_income,num_state,sum_miss,tot_build,FIPS Code,State Name,perc_miss
"1","01",Alabama,4893186,3302834,52035,AL,"889541","2579024",1,ALABAMA,34.4913812356923
"4","04",Arizona,7174064,5292498,61529,AZ,"165129","546816",4,ARIZONA,30.1982751053371
"5","05",Arkansas,3011873,2269959,49475,AR,"576195","1579108",5,ARKANSAS,36.4886378892387
"6","06",California,39346023,22053721,78672,CA,"1215974","10778513",6,CALIFORNIA,11.2814634078003
"8","08",Colorado,5684926,4634305,75231,CO,"457578","2204560",8,COLORADO,20.7559785172551
"9","09",Connecticut,3570549,2649994,79855,CT,"75855","1054980",9,CONNECTICUT,7.19018370016493
"10","10",Delaware,967679,652587,69110,DE,"337887","337887",10,DELAWARE,100
"12","12",Florida,21216924,15199588,57703,FL,"6790052","6790052",12,FLORIDA,100
"13","13",Georgia,10516579,6020265,61224,GA,"3806211","3806211",13,GEORGIA,100
"16","16",Idaho,1754367,1550979,58915,ID,"287816","881824",16,IDAHO,32.6387124868454
"17","17",Illinois,12716164,8874067,68428,IL,"818187","4944089",17,ILLINOIS,16.548791900793
"18","18",Indiana,6696893,5510354,58235,IN,"1057851","3539886",18,INDIANA,29.8837589685092
"19","19",Iowa,3150011,2806418,61836,IA,"636878","1949485",19,IOWA,32.6690382331744
"20","20",Kansas,2912619,2416165,61091,KS,"441443","1576269",20,KANSAS,28.0055625023394
"21","21",Kentucky,4461952,3848305,52238,KY,"556964","1936956",21,KENTUCKY,28.754602582609
"22","22",Louisiana,4664616,2856904,50800,LA,"458802","2099355",22,LOUISIANA,21.8544267167773
"23","23",Maine,1340825,1256030,59489,ME,"226158","890839",23,MAINE,25.3870789222295
"24","24",Maryland,6037624,3275048,87063,MD,"1593455","1593455",24,MARYLAND,100
"25","25",Massachusetts,6873003,5261787,84385,MA,"112236","1950689",25,MASSACHUSETTS,5.75365934805599
"26","26",Michigan,9973907,7735902,59234,MI,"1130975","5320782",26,MICHIGAN,21.2558041280398
"27","27",Minnesota,5600166,4572149,73382,MN,"846984","2786422",27,MINNESOTA,30.396831492143
"28","28",Mississippi,2981835,1729353,46511,MS,"554380","1453217",28,MISSISSIPPI,38.1484664712841
"29","29",Missouri,6124160,4978046,57290,MO,"1067701","3019885",29,MISSOURI,35.3556840740624
"30","30",Montana,1061705,932157,56539,MT,"322302","776062",30,MONTANA,41.5304447325085
"31","31",Nebraska,1923826,1641256,63015,NE,"467848","1207717",31,NEBRASKA,38.7382143333248
"32","32",Nevada,3030281,1881048,62043,NV,"48157","642993",32,NEVADA,7.48950610659836
"33","33",New Hampshire,1355244,1246602,77923,NH,"99716","530407",33,NEW HAMPSHIRE,18.799902716216
"34","34",New Jersey,8885418,5820147,85245,NJ,"168922","2360481",34,NEW JERSEY,7.15625332294562
"35","35",New Mexico,2097021,1467849,51243,NM,"332812","1044707",35,NEW MEXICO,31.8569704232861
"36","36",New York,19514849,12160045,71117,NY,"851884","4875116",36,NEW YORK,17.474127795113
"37","37",North Carolina,10386227,7019443,56642,NC,"4483317","4483317",37,NORTH CAROLINA,100
"38","38",North Dakota,760394,651470,65315,ND,"339711","584270",38,NORTH DAKOTA,58.14281068684
"39","39",Ohio,11675275,9394878,58116,OH,"1123897","5430548",39,OHIO,20.6958303287256
"40","40",Oklahoma,3949342,2809793,53840,OK,"597451","1720764",40,OKLAHOMA,34.7201010713846
"41","41",Oregon,4176346,3449081,65667,OR,"344056","1764027",41,OREGON,19.5040098592595
"42","42",Pennsylvania,12794885,10155004,63627,PA,"714018","4436849",42,PENNSYLVANIA,16.0929073763836
"44","44",Rhode Island,1057798,835608,70305,RI,"18105","356365",44,RHODE ISLAND,5.08046525332173
"45","45",South Carolina,5091517,3386329,54864,SC,"2141364","2141364",45,SOUTH CAROLINA,100
"46","46",South Dakota,879336,735228,59896,SD,"353061","735639",46,SOUTH DAKOTA,47.9937849950859
"47","47",Tennessee,6772268,5196680,54833,TN,"534051","2739365",47,TENNESSEE,19.4954305103555
"48","48",Texas,28635442,19805623,63826,TX,"10048170","10050535",48,TEXAS,99.9764689143414
"49","49",Utah,3151239,2682881,74197,UT,"399382","908396",49,UTAH,43.9656273255276
"50","50",Vermont,624340,584360,63477,VT,"116928","325457",50,VERMONT,35.9273268050772
"51","51",Virginia,8509358,5643436,76398,VA,"2791036","2996430",51,VIRGINIA,93.1453763311674
"53","53",Washington,7512465,5523881,77006,WA,"552808","2929638",53,WASHINGTON,18.8694985523809
"54","54",West Virginia,1807426,1672255,48037,WV,"974823","974823",54,WEST VIRGINIA,100
"55","55",Wisconsin,5806975,4895065,63293,WI,"979626","3222570",55,WISCONSIN,30.3989052216088
"56","56",Wyoming,581348,525246,65304,WY,"146017","385547",56,WYOMING,37.8726847829188
