"_unnamed_var","building_id","state","county","city","zip","address","area_sq_ft","year_built","building_type","cooling_system_type","heating_system_type","heating_fuel_type","energy_use_intensity","energy_efficiency_potential","total_site_energy_GJ","total_source_energy_GJ","geocoded","geometry"
3387,6021005064867,KY,Christian,DAWSON SPRINGS,42408,20816 DAWSON SPRINGS RD DAWSON SPRINGS KY 42408,0,,SingleFamily,CE,GAS,Gas,291.834101273995,,473.3900146484375,920.04998779296875,"(37.10316, -87.650695)",POINT(37.10316 -87.650695)
3233,6021005064477,KY,Christian,DAWSON SPRINGS,42408,21318 LOGAN BENNETT RD DAWSON SPRINGS KY 42408,0,,SingleFamily,CE,GAS,Gas,321.540571572124,,587.469970703125,1153.68994140625,"(37.107024, -87.64773)",POINT(37.107024 -87.64773)
4614,6021005037033,KY,Caldwell,DAWSON SPRINGS,42408,16652 DAWSON RD DAWSON SPRINGS KY 42408,1040,,SingleFamily,CE,GAS,Gas,198.519862350413,,406.54998779296881,820.28997802734364,"(37.15875, -87.737149)",POINT(37.15875 -87.737149)
9099,6021005036689,KY,Caldwell,DAWSON SPRINGS,42408,18271 DAWSON RD DAWSON SPRINGS KY 42408,878,,SingleFamily,OT,GAS,Gas,1495.52013874373,,502.42001342773438,1591.1700439453125,"(37.16105, -87.709813)",POINT(37.16105 -87.709813)
3008,6021005066992,KY,Christian,DAWSON SPRINGS,42408,17527 HAMBY LOOP RD DAWSON SPRINGS KY 42408,0,,SingleFamily,WU,GAS,Gas,487.533035737615,,338.05999755859369,627.53997802734375,"(37.074276, -87.622114)",POINT(37.074276 -87.622114)
3006,6021005064172,KY,Christian,DAWSON SPRINGS,42408,17527 HAMBY LOOP RD DAWSON SPRINGS KY 42408,0,,SingleFamily,WU,GAS,Gas,631.413431054905,,911.44000244140625,2886.5400390625,"(37.074276, -87.622114)",POINT(37.074276 -87.622114)
3005,6021005065592,KY,Christian,DAWSON SPRINGS,42408,17527 HAMBY LOOP RD DAWSON SPRINGS KY 42408,0,,SingleFamily,WU,GAS,Gas,349.904834028603,,1002.8499755859376,3160.31005859375,"(37.074276, -87.622114)",POINT(37.074276 -87.622114)
3007,6021005063949,KY,Christian,DAWSON SPRINGS,42408,17527 HAMBY LOOP RD DAWSON SPRINGS KY 42408,0,,SingleFamily,WU,GAS,Gas,861.460202356379,,416.239990234375,965.67999267578114,"(37.074276, -87.622114)",POINT(37.074276 -87.622114)
1496,6021005031514,KY,Caldwell,DAWSON SPRINGS,42408,169 SMILEY RD DAWSON SPRINGS KY 42408,0,,Other,OT,GAS,Gas,501.961782466076,,753.20001220703125,2000.9100341796875,"(37.083215, -87.740104)",POINT(37.083215 -87.740104)
3333,6021005063466,KY,Christian,DAWSON SPRINGS,42408,18824 COLLINS BRIDGE RD DAWSON SPRINGS KY 42408,0,,SingleFamily,CE,GAS,Gas,432.579169470065,,933.219970703125,2410.280029296875,"(37.091455, -87.615042)",POINT(37.091455 -87.615042)
